player,team,positions,matches_with_shot,minutes,shots,open_play_shots,penalty_shots,goals,shots_on_target,xg,non_penalty_xg,penalty_xg,avg_xg_per_shot,avg_non_penalty_xg_per_shot,shot_accuracy,goal_minus_xg,avg_shot_distance,shots_detail
Lautaro Javier Martínez,Argentina,Center Forward; Left Center Forward,5,245,11,11,0,5,8,2.888,2.888,0.0,0.263,0.263,0.727,2.112,14.39,"[{'match_id': 3939977, 'x': 107.6, 'y': 49.2, 'xg': 0.069, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939977, 'x': 112.6, 'y': 34.3, 'xg': 0.299, 'outcome': 'Goal', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939977, 'x': 112.0, 'y': 37.3, 'xg': 0.454, 'outcome': 'Saved', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 106.1, 'y': 47.0, 'xg': 0.343, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 107.7, 'y': 42.3, 'xg': 0.087, 'outcome': 'Blocked', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 107.0, 'y': 29.6, 'xg': 0.179, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939986, 'x': 107.3, 'y': 32.6, 'xg': 0.361, 'outcome': 'Goal', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943077, 'x': 105.5, 'y': 52.1, 'xg': 0.199, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 106.0, 'y': 33.8, 'xg': 0.049, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 103.0, 'y': 35.6, 'xg': 0.432, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 107.0, 'y': 44.9, 'xg': 0.415, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
Lionel Andrés Messi Cuccittini,Argentina,Right Center Forward,5,475,14,13,1,1,4,2.833,2.05,0.783,0.202,0.158,0.286,-1.833,17.57,"[{'match_id': 3939977, 'x': 91.7, 'y': 43.1, 'xg': 0.04, 'outcome': 'Post', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3943077, 'x': 106.2, 'y': 36.8, 'xg': 0.151, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 100.8, 'y': 48.6, 'xg': 0.038, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 106.2, 'y': 34.9, 'xg': 0.093, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 100.2, 'y': 35.7, 'xg': 0.055, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 114.4, 'y': 41.3, 'xg': 0.595, 'outcome': 'Goal', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 108.5, 'y': 29.7, 'xg': 0.116, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Post', 'play_pattern': 'Other', 'body_part': 'Left Foot', 'is_penalty': True}, {'match_id': 3939969, 'x': 112.1, 'y': 52.1, 'xg': 0.056, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 97.6, 'y': 50.1, 'xg': 0.041, 'outcome': 'Off T', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 106.4, 'y': 26.8, 'xg': 0.157, 'outcome': 'Saved', 'play_pattern': 'From Keeper', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 106.4, 'y': 35.2, 'xg': 0.296, 'outcome': 'Blocked', 'play_pattern': 'From Keeper', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 105.8, 'y': 45.9, 'xg': 0.349, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 93.6, 'y': 42.1, 'xg': 0.062, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}]"
Darwin Gabriel Núñez Ribeiro,Uruguay,Center Forward,6,483,21,21,0,2,5,1.861,1.861,0.0,0.089,0.089,0.238,0.139,15.05,"[{'match_id': 3939982, 'x': 108.0, 'y': 38.8, 'xg': 0.082, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939982, 'x': 105.4, 'y': 36.0, 'xg': 0.092, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939982, 'x': 109.8, 'y': 51.6, 'xg': 0.172, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939982, 'x': 110.5, 'y': 30.7, 'xg': 0.056, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939982, 'x': 108.6, 'y': 37.9, 'xg': 0.072, 'outcome': 'Post', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939982, 'x': 107.1, 'y': 29.8, 'xg': 0.066, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939982, 'x': 115.3, 'y': 29.2, 'xg': 0.044, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939990, 'x': 107.5, 'y': 33.5, 'xg': 0.078, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 99.0, 'y': 32.8, 'xg': 0.083, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942852, 'x': 103.5, 'y': 44.4, 'xg': 0.198, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942852, 'x': 108.0, 'y': 55.0, 'xg': 0.064, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942852, 'x': 115.3, 'y': 24.6, 'xg': 0.011, 'outcome': 'Wayward', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942852, 'x': 99.4, 'y': 38.0, 'xg': 0.092, 'outcome': 'Off T', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 107.3, 'y': 36.4, 'xg': 0.038, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942415, 'x': 113.1, 'y': 36.8, 'xg': 0.17, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942415, 'x': 113.7, 'y': 51.2, 'xg': 0.066, 'outcome': 'Blocked', 'play_pattern': 'From Goal Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 101.1, 'y': 37.4, 'xg': 0.058, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 101.2, 'y': 21.1, 'xg': 0.009, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 108.4, 'y': 42.0, 'xg': 0.18, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 113.9, 'y': 35.9, 'xg': 0.138, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939973, 'x': 109.4, 'y': 33.5, 'xg': 0.092, 'outcome': 'Goal', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}]"
Julián Álvarez,Argentina,Left Center Forward,5,383,10,9,1,3,6,2.326,1.542,0.783,0.233,0.171,0.6,0.674,21.13,"[{'match_id': 3939977, 'x': 110.4, 'y': 35.1, 'xg': 0.271, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939977, 'x': 100.2, 'y': 28.1, 'xg': 0.055, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3943077, 'x': 105.6, 'y': 44.0, 'xg': 0.072, 'outcome': 'Off T', 'play_pattern': 'From Kick Off', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 52.1, 'y': 51.6, 'xg': 0.004, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 107.1, 'y': 42.5, 'xg': 0.55, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942785, 'x': 102.8, 'y': 50.0, 'xg': 0.175, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942228, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}, {'match_id': 3939969, 'x': 110.9, 'y': 20.2, 'xg': 0.046, 'outcome': 'Wayward', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 115.7, 'y': 50.0, 'xg': 0.281, 'outcome': 'Goal', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939969, 'x': 104.5, 'y': 36.0, 'xg': 0.088, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
José Salomón Rondón Giménez,Venezuela,Center Forward; Left Center Forward; Right Center Forward,4,373,19,17,2,4,6,3.102,1.535,1.567,0.163,0.09,0.316,0.898,16.78,"[{'match_id': 3939987, 'x': 112.8, 'y': 39.4, 'xg': 0.106, 'outcome': 'Blocked', 'play_pattern': 'From Goal Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939987, 'x': 102.9, 'y': 40.4, 'xg': 0.061, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939987, 'x': 110.9, 'y': 36.5, 'xg': 0.24, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939987, 'x': 100.5, 'y': 44.2, 'xg': 0.049, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939987, 'x': 106.4, 'y': 32.3, 'xg': 0.152, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939979, 'x': 105.9, 'y': 27.5, 'xg': 0.052, 'outcome': 'Post', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939979, 'x': 100.2, 'y': 24.1, 'xg': 0.021, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939979, 'x': 101.7, 'y': 36.0, 'xg': 0.051, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939979, 'x': 108.0, 'y': 40.0, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}, {'match_id': 3939972, 'x': 95.6, 'y': 44.7, 'xg': 0.036, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 114.0, 'y': 34.3, 'xg': 0.112, 'outcome': 'Wayward', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939972, 'x': 115.1, 'y': 54.2, 'xg': 0.012, 'outcome': 'Blocked', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939972, 'x': 111.0, 'y': 38.1, 'xg': 0.285, 'outcome': 'Saved', 'play_pattern': 'From Goal Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942229, 'x': 109.0, 'y': 41.5, 'xg': 0.079, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942229, 'x': 92.1, 'y': 44.2, 'xg': 0.042, 'outcome': 'Off T', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 114.3, 'y': 34.3, 'xg': 0.129, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942229, 'x': 114.5, 'y': 34.0, 'xg': 0.09, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942229, 'x': 71.0, 'y': 33.7, 'xg': 0.019, 'outcome': 'Goal', 'play_pattern': 'From Counter', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942229, 'x': 108.1, 'y': 40.1, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}]"
Jhon Andrés Córdoba Copete,Colombia,Center Forward; Right Center Forward,5,421,11,11,0,2,3,1.368,1.368,0.0,0.124,0.124,0.273,0.632,10.31,"[{'match_id': 3939991, 'x': 114.2, 'y': 37.1, 'xg': 0.176, 'outcome': 'Off T', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939991, 'x': 113.2, 'y': 35.5, 'xg': 0.103, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942416, 'x': 113.9, 'y': 41.0, 'xg': 0.386, 'outcome': 'Goal', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3943077, 'x': 105.5, 'y': 47.3, 'xg': 0.076, 'outcome': 'Post', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943077, 'x': 108.3, 'y': 39.0, 'xg': 0.05, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3943077, 'x': 112.5, 'y': 42.5, 'xg': 0.085, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942852, 'x': 108.7, 'y': 37.2, 'xg': 0.072, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3942852, 'x': 112.9, 'y': 43.7, 'xg': 0.076, 'outcome': 'Off T', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939984, 'x': 114.4, 'y': 37.5, 'xg': 0.136, 'outcome': 'Wayward', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939984, 'x': 113.5, 'y': 51.8, 'xg': 0.148, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939984, 'x': 102.5, 'y': 40.1, 'xg': 0.061, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
Facundo Pellistri Rebollo,Uruguay,Right Wing,2,456,3,3,0,1,2,1.008,1.008,0.0,0.336,0.336,0.667,-0.008,9.63,"[{'match_id': 3939982, 'x': 118.1, 'y': 42.3, 'xg': 0.728, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939990, 'x': 110.5, 'y': 48.9, 'xg': 0.17, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939990, 'x': 107.9, 'y': 44.4, 'xg': 0.11, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
Luis Alberto Suárez Díaz,Uruguay,Center Forward; Right Center Forward,3,132,6,5,1,2,4,1.732,0.949,0.783,0.289,0.19,0.667,0.268,15.72,"[{'match_id': 3939990, 'x': 102.7, 'y': 32.8, 'xg': 0.061, 'outcome': 'Blocked', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 104.7, 'y': 22.6, 'xg': 0.04, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 112.1, 'y': 51.1, 'xg': 0.238, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 110.0, 'y': 38.2, 'xg': 0.527, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 108.0, 'y': 40.0, 'xg': 0.783, 'outcome': 'Goal', 'play_pattern': 'Other', 'body_part': 'Right Foot', 'is_penalty': True}, {'match_id': 3942852, 'x': 104.3, 'y': 45.5, 'xg': 0.082, 'outcome': 'Post', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}]"
Rodrygo Silva de Goes,Brazil,Center Forward; Left Wing; Right Center Forward,3,330,10,10,0,0,2,0.903,0.903,0.0,0.09,0.09,0.2,-0.903,18.39,"[{'match_id': 3939983, 'x': 112.6, 'y': 29.0, 'xg': 0.155, 'outcome': 'Saved', 'play_pattern': 'Regular Play', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939983, 'x': 89.8, 'y': 47.8, 'xg': 0.033, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 108.5, 'y': 51.5, 'xg': 0.132, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 111.9, 'y': 36.2, 'xg': 0.128, 'outcome': 'Wayward', 'play_pattern': 'From Free Kick', 'body_part': 'Other', 'is_penalty': False}, {'match_id': 3939976, 'x': 100.5, 'y': 49.0, 'xg': 0.049, 'outcome': 'Off T', 'play_pattern': 'From Throw In', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 112.3, 'y': 31.3, 'xg': 0.078, 'outcome': 'Off T', 'play_pattern': 'From Corner', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939976, 'x': 111.1, 'y': 33.7, 'xg': 0.062, 'outcome': 'Off T', 'play_pattern': 'From Free Kick', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939976, 'x': 109.8, 'y': 36.0, 'xg': 0.184, 'outcome': 'Blocked', 'play_pattern': 'From Corner', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 93.5, 'y': 46.0, 'xg': 0.056, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3942415, 'x': 88.4, 'y': 34.5, 'xg': 0.025, 'outcome': 'Blocked', 'play_pattern': 'From Free Kick', 'body_part': 'Right Foot', 'is_penalty': False}]"
Maximiliano Javier Araújo Vilches,Uruguay,Left Wing,3,497,8,8,0,2,6,0.819,0.819,0.0,0.102,0.102,0.75,1.181,14.16,"[{'match_id': 3939982, 'x': 110.7, 'y': 28.7, 'xg': 0.016, 'outcome': 'Saved', 'play_pattern': 'From Corner', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939982, 'x': 111.4, 'y': 29.2, 'xg': 0.223, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939982, 'x': 110.4, 'y': 45.4, 'xg': 0.193, 'outcome': 'Goal', 'play_pattern': 'Regular Play', 'body_part': 'Right Foot', 'is_penalty': False}, {'match_id': 3943076, 'x': 110.4, 'y': 27.0, 'xg': 0.099, 'outcome': 'Saved', 'play_pattern': 'From Throw In', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 108.8, 'y': 43.9, 'xg': 0.07, 'outcome': 'Off T', 'play_pattern': 'Regular Play', 'body_part': 'Head', 'is_penalty': False}, {'match_id': 3939973, 'x': 101.1, 'y': 26.2, 'xg': 0.041, 'outcome': 'Goal', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 112.7, 'y': 33.3, 'xg': 0.137, 'outcome': 'Saved', 'play_pattern': 'From Free Kick', 'body_part': 'Left Foot', 'is_penalty': False}, {'match_id': 3939973, 'x': 110.4, 'y': 32.0, 'xg': 0.039, 'outcome': 'Blocked', 'play_pattern': 'From Throw In', 'body_part': 'Head', 'is_penalty': False}]"
